id,cltv
89393,94757.20008388897
89394,124602.2916997023
89395,93893.92753575643
89396,86945.66350502023
89397,141575.92649491644
89398,102776.075559758
89399,49759.6012892428
89400,110221.34010560141
89401,49816.5060487602
89402,153233.96189385824
89403,149699.47497152683
89404,92371.73152768797
89405,51658.11699420536
89406,50842.40334978061
89407,56324.4589922994
89408,140662.59492092713
89409,124346.80527594332
89410,134172.0176166622
89411,122663.15705347579
89412,139013.5511505567
89413,138665.7102080828
89414,48649.72743666797
89415,49408.289496612495
89416,111163.53003677053
89417,138688.58573229169
89418,96711.94632713441
89419,48501.30125384262
89420,134167.6380295233
89421,141265.32847290966
89422,117104.93471719295
89423,147493.82743418452
89424,47183.40738020305
89425,114534.04921548905
89426,129767.89094505577
89427,102875.35371163447
89428,113824.04764626897
89429,97068.7094731834
89430,52509.065196278316
89431,126994.98848960629
89432,114582.1933866444
89433,50162.19879235484
89434,51105.972531085215
89435,46429.67540655084
89436,105966.63312443257
89437,52247.86720812623
89438,139022.02677100035
89439,49052.3249647924
89440,135025.8687754355
89441,140279.7291049105
89442,66826.27054114193
89443,107319.77271620142
89444,69028.9103976597
89445,110383.33401996888
89446,91458.05689254495
89447,121658.11097486131
89448,136351.95538722348
89449,140340.9771945492
89450,126859.91687916445
89451,118734.26381071465
89452,124649.4155594917
89453,123202.49619739321
89454,139629.0801369245
89455,114626.01395398521
89456,125800.54063093023
89457,107699.25205778945
89458,138301.6026111575
89459,117089.59664176131
89460,127713.85032634797
89461,111230.52707775895
89462,92379.03059569451
89463,110757.3515287694
89464,159683.30702599234
89465,140378.72081918566
89466,48671.66898163291
89467,120522.25105696684
89468,49793.388212974154
89469,97838.523960182
89470,47154.932669628695
89471,153071.32238091878
89472,119294.06506999547
89473,127069.69207165742
89474,130490.10592837275
89475,113172.93336780116
89476,150926.94612206853
89477,57038.70592438778
89478,138381.6957162977
89479,123252.76320302307
89480,100668.80357138356
89481,49868.32015358757
89482,51104.279438940095
89483,104666.08168064772
89484,50068.74530034819
89485,121095.67124266824
89486,130778.2950724634
89487,119326.47928645175
89488,85568.40669046
89489,51217.09695790215
89490,89119.17757504596
89491,110191.93313433109
89492,101505.66987253226
89493,50311.33737384198
89494,48942.07270594188
89495,108678.55326042853
89496,103128.87008530922
89497,133070.0677540665
89498,107200.90233536411
89499,50767.12939780663
89500,115209.49988123286
89501,59802.52792142107
89502,47441.26121485435
89503,152398.72081553895
89504,153386.4301594993
89505,84769.69204663704
89506,50313.64410437321
89507,113904.04304880675
89508,92123.48970725415
89509,146376.2836072636
89510,48621.01031233287
89511,120859.63753380076
89512,144091.60090878414
89513,106706.78972330064
89514,138651.61971229568
89515,109203.35391946504
89516,52042.96721616363
89517,95553.59208356762
89518,49873.034985349
89519,136590.09414794703
89520,51125.46354113321
89521,113426.95446491899
89522,49165.42046135578
89523,55978.1920934023
89524,51460.81388705187
89525,95719.44125949372
89526,53587.11743201748
89527,52880.987543917625
89528,98564.13399836338
89529,111344.76819312174
89530,129098.8865665954
89531,144151.91941427873
89532,49347.35813367955
89533,58395.61547059719
89534,95508.34099792474
89535,108686.00610160365
89536,114428.77116426617
89537,125826.74065494914
89538,138482.79244756539
89539,140064.69874773576
89540,52024.25348379277
89541,118449.30455413747
89542,93988.04480142937
89543,52083.769033020406
89544,110883.62881238192
89545,50564.28616742363
89546,159220.54697297397
89547,96429.27541012768
89548,128817.21883292285
89549,100104.0939991788
89550,56889.92141838204
89551,108629.00262680344
89552,91258.87551049722
89553,125624.37646904237
89554,59393.95757950503
89555,50599.95090858198
89556,96910.01521984368
89557,113125.70648535668
89558,148518.25734262285
89559,113827.60870964703
89560,51541.61438657767
89561,122311.26030286023
89562,132394.31462510308
89563,99392.1916623209
89564,143841.0158095296
89565,95925.50301019767
89566,130644.2870327936
89567,95565.88891430295
89568,132640.82894598064
89569,99015.6998262211
89570,131040.11625881595
89571,114083.28281593893
89572,56050.43762999057
89573,52590.919295750326
89574,47446.63027038142
89575,156976.20720224525
89576,128232.25214923057
89577,45053.27266717181
89578,94232.34884306262
89579,138734.886584197
89580,125492.60503280495
89581,123031.94786334326
89582,49485.502080830454
89583,107085.87053110448
89584,97871.3990159511
89585,49348.65580651438
89586,48592.63816575983
89587,51609.16691321465
89588,47486.39446692072
89589,49430.13071334859
89590,123716.86222357345
89591,156513.06750383344
89592,110565.0996044919
89593,136561.639555966
89594,94331.1578998661
89595,113012.38715644756
89596,91436.37696528797
89597,51853.41599640527
89598,109673.82876359252
89599,109753.42579394895
89600,105631.07734794726
89601,123280.8082503656
89602,143505.17891002272
89603,112919.01473422222
89604,144709.67486914326
89605,111528.86630389135
89606,139336.36552350465
89607,110147.11193512916
89608,124096.02570321091
89609,112850.35712978113
89610,97134.36732965623
89611,102976.47745185455
89612,158599.94208407655
89613,113862.15546994268
89614,50065.89033899412
89615,102638.29885165842
89616,142797.40841819043
89617,45310.94279753396
89618,90379.96177765964
89619,47632.86385009371
89620,92460.30222815475
89621,146918.7889710756
89622,109670.66477603086
89623,120484.34536577485
89624,142554.3985807786
89625,55238.50220863664
89626,110074.67969159539
89627,51484.6097090597
89628,57370.13131162319
89629,140874.10393687699
89630,111953.18315850812
89631,122672.83542255862
89632,46012.647433150676
89633,109378.11614545004
89634,117321.3806743887
89635,123860.37737422345
89636,124764.13651614779
89637,46091.87124695168
89638,92857.44194192182
89639,109873.0195191351
89640,116318.32653761934
89641,52827.62482353126
89642,47533.30441214932
89643,90905.48219969598
89644,126317.30729688963
89645,122647.99727769996
89646,137094.2059716768
89647,47460.37224430922
89648,45758.5713728037
89649,107501.65658949697
89650,108144.12007120295
89651,84413.9861776776
89652,100907.28504820883
89653,111749.42496071961
89654,110520.37033827892
89655,142916.3410474782
89656,109598.41146035952
89657,46508.874587926555
89658,130867.31183677542
89659,133110.20288733018
89660,117108.57616472492
89661,100541.40340930836
89662,129223.90065609168
89663,55267.214624728535
89664,53535.28675308221
89665,93782.87829644138
89666,45674.835895184864
89667,52900.44367026043
89668,142891.50290261954
89669,105289.14693233719
89670,143879.2122465799
89671,112711.91416925885
89672,126432.83406420544
89673,51591.693018325845
89674,143939.97313259318
89675,110658.78889297726
89676,49368.579275189324
89677,50449.27816635452
89678,121543.29434947789
89679,131154.66130287538
89680,46238.49390914755
89681,115456.78397586472
89682,47984.452376038666
89683,132276.0620861
89684,92058.79572494898
89685,115447.8623845171
89686,51536.181583281716
89687,47674.39295034544
89688,112468.96895337032
89689,53149.645712588295
89690,109266.1877279024
89691,52928.54600478067
89692,111621.52879944055
89693,146810.1919893691
89694,111775.39971339311
89695,117015.7704589199
89696,110804.75771441092
89697,61844.53015260277
89698,114577.30652455639
89699,48294.96817125967
89700,45523.78138208132
89701,90422.57198263025
89702,140251.7312398752
89703,48438.94178827488
89704,144079.87809144857
89705,122838.64625095286
89706,104934.65657379049
89707,50375.94973972266
89708,132621.54727683344
89709,53086.50918794279
89710,110695.65280814626
89711,115270.11855295286
89712,117101.52083853402
89713,103632.88506763979
89714,150063.97360608305
89715,142642.78193575898
89716,44499.69984748621
89717,158102.85548493493
89718,96095.41000011389
89719,120049.73522673242
89720,71755.97538134581
89721,137168.24789867306
89722,44151.80022566342
89723,93474.32427489248
89724,89391.99797594294
89725,119677.91372260803
89726,47804.03754819134
89727,45782.651330523586
89728,51560.13838374901
89729,154051.21242251457
89730,95925.50301019767
89731,139404.06828607575
89732,49523.285032172105
89733,125918.6732036722
89734,113171.64206787778
89735,137634.52747465455
89736,90963.98359128967
89737,125007.08802652944
89738,48927.463534342205
89739,48914.094948440754
89740,126788.02453525337
89741,107692.01548990667
89742,121219.32822670939
89743,108677.78999611847
89744,45578.09582661588
89745,118784.33984560726
89746,47909.66308679342
89747,117711.66239638263
89748,114054.30808585286
89749,55975.21021757437
89750,112263.29621796067
89751,114276.94558076831
89752,44364.389790503425
89753,119107.18036252544
89754,119879.54675597584
89755,123597.35891578077
89756,48921.30146799179
89757,143874.76694039063
89758,121276.02418323302
89759,132334.10638459734
89760,52744.27794903273
89761,131544.25807451596
89762,116976.17091390444
89763,109809.812829537
89764,96531.5314992871
89765,124063.51393474193
89766,139665.12993406365
89767,142410.6072422992
89768,98643.6320097819
89769,105201.45830200423
89770,72753.14964768171
89771,114188.95613892893
89772,111495.36230158128
89773,109626.99080683672
89774,141650.68827922732
89775,123824.20056257927
89776,123537.34709825015
89777,98832.00293130863
